iter	Passed	Remaining
404	8352	19302
405	8364	19262
406	8387	19247
407	8399	19207
408	8422	19192
409	8434	19152
410	8458	19139
411	8470	19099
412	8482	19060
413	8505	19045
414	8528	19030
415	8551	19015
416	8575	19001
417	8587	18962
418	8609	18945
419	8632	18929
420	8644	18890
421	8656	18851
422	8679	18835
423	8691	18796
424	8703	18758
425	8726	18743
426	8748	18727
427	8760	18688
428	8783	18673
429	8796	18635
430	8818	18619
431	8842	18606
432	8866	18592
433	8879	18557
434	8904	18546
435	8929	18534
436	8954	18523
437	8966	18486
438	8990	18473
439	9014	18458
440	9026	18421
441	9038	18383
442	9062	18370
443	9085	18355
444	9109	18340
445	9132	18326
446	9149	18298
447	9172	18284
448	9197	18271
449	9222	18260
450	9239	18232
451	9255	18204
452	9278	18188
453	9294	18159
454	9311	18132
455	9328	18103
456	9350	18087
457	9367	18060
458	9384	18033
459	9401	18005
460	9424	17990
461	9441	17962
462	9458	17936
463	9476	17912
464	9494	17886
465	9512	17860
466	9529	17834
467	9540	17797
468	9552	17761
469	9564	17725
470	9585	17704
471	9596	17668
472	9617	17648
473	9637	17628
474	9657	17607
475	9669	17571
476	9689	17551
477	9710	17531
478	9731	17511
479	9742	17476
480	9763	17456
481	9784	17437
482	9805	17418
483	9817	17382
484	9828	17347
485	9849	17327
486	9869	17307
487	9890	17287
488	9910	17267
489	9922	17232
490	9934	17197
491	9954	17178
492	9975	17159
493	9996	17139
494	10008	17105
495	10029	17086
496	10041	17053
497	10062	17033
498	10075	17000
499	10090	16972
500	10119	16967
501	10142	16951
502	10155	16918
503	10168	16886
504	10189	16867
505	10210	16849
506	10223	16816
507	10246	16802
508	10259	16770
509	10281	16751
510	10302	16733
511	10314	16700
512	10326	16668
513	10339	16635
514	10351	16602
515	10363	16569
516	10384	16550
517	10396	16518
518	10417	16499
519	10429	16467
520	10442	16434
521	10454	16402
522	10466	16370
523	10479	16339
524	10502	16323
525	10514	16291
526	10526	16259
527	10548	16242
528	10560	16210
529	10581	16192
530	10602	16173
531	10624	16156
532	10637	16125
533	10649	16094
534	10661	16062
535	10675	16032
536	10689	16003
537	10702	15974
538	10725	15958
539	10747	15942
540	10769	15925
541	10782	15895
542	10796	15866
543	10813	15842
544	10830	15818
545	10846	15792
546	10868	15775
547	10889	15757
548	10901	15726
549	10921	15706
550	10933	15675
551	10953	15657
552	10965	15625
553	10979	15596
554	11001	15579
555	11013	15549
556	11034	15531
557	11047	15501
558	11059	15471
559	11081	15454
560	11103	15437
561	11126	15423
562	11148	15406
563	11161	15376
564	11173	15345
565	11185	15316
566	11198	15286
567	11210	15256
568	11231	15238
569	11243	15208
570	11263	15188
571	11282	15168
572	11294	15137
573	11306	15107
574	11319	15079
575	11351	15075
576	11374	15061
577	11387	15032
578	11409	15015
579	11430	14998
580	11451	14980
581	11473	14963
582	11486	14933
583	11501	14909
584	11526	14895
585	11540	14869
586	11567	14858
587	11598	14853
588	11623	14840
589	11637	14813
590	11651	14785
591	11674	14770
592	11711	14773
593	11744	14769
594	11757	14741
595	11780	14726
596	11794	14698
597	11816	14681
598	11837	14663
599	11858	14644
600	11870	14615
601	11891	14597
602	11907	14573
603	11923	14549
604	11945	14531
605	11957	14502
606	11978	14485
607	11993	14459
608	12007	14432
609	12020	14404
610	12032	14376
611	12055	14360
612	12078	14344
613	12091	14316
614	12103	14287
615	12125	14270
616	12137	14242
617	12158	14224
618	12171	14196
619	12183	14168
620	12204	14149
621	12215	14120
622	12236	14101
623	12257	14084
624	12274	14061
625	12287	14034
626	12314	14023
627	12328	13997
628	12342	13971
629	12376	13968
630	12390	13942
631	12402	13913
632	12415	13886
633	12436	13868
634	12449	13841
635	12470	13823
636	12491	13805
637	12503	13777
638	12525	13760
639	12537	13732
640	12549	13705
641	12562	13677
642	12583	13659
643	12595	13631
644	12606	13603
645	12627	13585
646	12639	13557
647	12651	13529
648	12671	13511
649	12692	13493
650	12704	13466
651	12716	13438
652	12729	13411
653	12742	13385
654	12754	13358
