iter	RMSE
0	0.03121549206
1	0.02984557221
2	0.02867123384
3	0.02744473714
4	0.02632852461
5	0.02533120903
6	0.02439769495
7	0.02343056068
8	0.02267663869
9	0.02193736232
10	0.02109412856
11	0.02034080132
12	0.01957215905
13	0.01892505192
14	0.01836805103
15	0.01775752051
16	0.0171628472
17	0.01659307351
18	0.01610731501
19	0.01566042461
20	0.0151602064
21	0.01475330167
22	0.01438767008
23	0.0139599269
24	0.01358929506
25	0.01320582049
26	0.01286843158
27	0.01262416798
28	0.01239269727
29	0.01217585828
30	0.01196781369
31	0.01177098128
32	0.01147939227
33	0.01129788298
34	0.01112657509
35	0.01095616349
36	0.01079201574
37	0.01068431818
38	0.01052130242
39	0.01037174169
40	0.01021922191
41	0.009982213907
42	0.009837608014
43	0.009715975979
44	0.009638493607
45	0.009528263646
46	0.009423691569
47	0.009205121239
48	0.009088826618
49	0.008997723171
50	0.008888936788
51	0.008806477851
52	0.008619611155
53	0.008443497604
54	0.00836948187
55	0.008299965582
56	0.008235142238
57	0.008098500632
58	0.007951781075
59	0.007894333995
60	0.00777272367
61	0.007687300002
62	0.007559167817
63	0.007506714864
64	0.007457537051
65	0.007361921494
66	0.00727175579
67	0.007229878701
68	0.007191897939
69	0.007109312465
70	0.007083619827
71	0.007000262411
72	0.006966650142
73	0.00686063865
74	0.006830584677
75	0.006738254976
76	0.006651654373
77	0.006627536189
78	0.006590433056
79	0.006529022958
80	0.00650711876
81	0.006459513516
82	0.006386216877
83	0.006351743291
84	0.006276335582
85	0.006259749676
86	0.006194223785
87	0.006179878643
88	0.006166082839
89	0.006137956982
90	0.006070614944
91	0.006059174003
92	0.00604745532
93	0.005991835879
94	0.005918408008
95	0.005867796966
96	0.005853547209
97	0.005806797068
98	0.005762515896
99	0.005715474663
100	0.005694969592
101	0.005685152482
102	0.00562811372
103	0.005573109412
104	0.005562211209
105	0.005530299983
106	0.005520394717
107	0.005482924232
108	0.005458066426
109	0.005407113995
110	0.0053605194
111	0.005353344312
112	0.005346334649
113	0.005302294561
114	0.005276220973
115	0.005234861861
116	0.005210707482
117	0.005202864512
118	0.005195537825
119	0.005155458289
120	0.005148989206
121	0.005110121327
122	0.005073288769
123	0.005039258262
124	0.005006260001
125	0.004974539607
126	0.004943752542
127	0.00491417787
128	0.00489689675
129	0.004880381895
130	0.004850750262
131	0.004824008932
132	0.004817338786
133	0.004791633265
134	0.004775932391
135	0.004751215091
136	0.004727334353
137	0.004704262158
138	0.004681971214
139	0.004660431342
140	0.004646820159
141	0.004625435892
142	0.004612689479
143	0.004600546858
144	0.004588980239
145	0.004577959585
146	0.004567459362
147	0.004548542339
148	0.004545044906
149	0.004535296231
150	0.004526004192
151	0.004517145837
152	0.004499541683
153	0.004491245638
154	0.004473959485
155	0.004470659258
156	0.004467521631
157	0.004459648455
158	0.004456718454
159	0.004449295869
160	0.004442249627
161	0.004435556817
162	0.004419625488
163	0.004413377072
164	0.004407438581
165	0.004401792084
166	0.004401606949
167	0.004396261911
168	0.004391174707
169	0.004376294384
170	0.004361918564
